model,method,accuracy,roc_auc,brier,ece
GradientBoosting_uncal,uncalibrated,0.958041958041958,0.9928721174004191,0.03719591842220323,0.037236000127270366
RandomForest_uncal,uncalibrated,0.958041958041958,0.9949685534591195,0.0286993006993007,0.05741258741258744
Stacking_uncal,uncalibrated,0.951048951048951,0.9941299790356395,0.03568493565611346,0.07548842954570728
