threshold,avg_cost,accuracy,tp,fp,fn,tn
0.67,0.16083916083916083,0.951048951048951,86,3,4,50
0.675,0.16083916083916083,0.951048951048951,86,3,4,50
0.68,0.16083916083916083,0.951048951048951,86,3,4,50
0.685,0.16083916083916083,0.951048951048951,86,3,4,50
0.6900000000000001,0.16083916083916083,0.951048951048951,86,3,4,50
0.6950000000000001,0.16083916083916083,0.951048951048951,86,3,4,50
0.7000000000000001,0.16083916083916083,0.951048951048951,86,3,4,50
0.705,0.16083916083916083,0.951048951048951,86,3,4,50
0.71,0.16083916083916083,0.951048951048951,86,3,4,50
0.715,0.16083916083916083,0.951048951048951,86,3,4,50
0.72,0.16083916083916083,0.951048951048951,86,3,4,50
0.725,0.16083916083916083,0.951048951048951,86,3,4,50
0.73,0.16083916083916083,0.951048951048951,86,3,4,50
0.735,0.1958041958041958,0.9440559440559441,85,3,5,50
0.74,0.1958041958041958,0.9440559440559441,85,3,5,50
0.745,0.1958041958041958,0.9440559440559441,85,3,5,50
0.75,0.1958041958041958,0.9440559440559441,85,3,5,50
0.755,0.23076923076923078,0.9370629370629371,84,3,6,50
0.76,0.23076923076923078,0.9370629370629371,84,3,6,50
0.765,0.22377622377622378,0.9440559440559441,84,2,6,51
0.77,0.22377622377622378,0.9440559440559441,84,2,6,51
0.775,0.21678321678321677,0.951048951048951,84,1,6,52
0.78,0.21678321678321677,0.951048951048951,84,1,6,52
0.785,0.21678321678321677,0.951048951048951,84,1,6,52
0.79,0.21678321678321677,0.951048951048951,84,1,6,52
0.795,0.21678321678321677,0.951048951048951,84,1,6,52
0.8,0.21678321678321677,0.951048951048951,84,1,6,52
0.805,0.2517482517482518,0.9440559440559441,83,1,7,52
0.81,0.2517482517482518,0.9440559440559441,83,1,7,52
0.8150000000000001,0.2517482517482518,0.9440559440559441,83,1,7,52
0.8200000000000001,0.2867132867132867,0.9370629370629371,82,1,8,52
0.8250000000000001,0.2867132867132867,0.9370629370629371,82,1,8,52
0.8300000000000001,0.27972027972027974,0.9440559440559441,82,0,8,53
0.835,0.27972027972027974,0.9440559440559441,82,0,8,53
0.84,0.27972027972027974,0.9440559440559441,82,0,8,53
0.845,0.27972027972027974,0.9440559440559441,82,0,8,53
0.85,0.27972027972027974,0.9440559440559441,82,0,8,53
0.855,0.27972027972027974,0.9440559440559441,82,0,8,53
0.86,0.27972027972027974,0.9440559440559441,82,0,8,53
0.865,0.27972027972027974,0.9440559440559441,82,0,8,53
0.87,0.27972027972027974,0.9440559440559441,82,0,8,53
0.875,0.27972027972027974,0.9440559440559441,82,0,8,53
0.88,0.27972027972027974,0.9440559440559441,82,0,8,53
0.885,0.27972027972027974,0.9440559440559441,82,0,8,53
0.89,0.27972027972027974,0.9440559440559441,82,0,8,53
0.895,0.3146853146853147,0.9370629370629371,81,0,9,53
0.9,0.3146853146853147,0.9370629370629371,81,0,9,53
0.905,0.3146853146853147,0.9370629370629371,81,0,9,53
0.91,0.3146853146853147,0.9370629370629371,81,0,9,53
0.915,0.34965034965034963,0.9300699300699301,80,0,10,53
0.92,0.34965034965034963,0.9300699300699301,80,0,10,53
0.925,0.4195804195804196,0.916083916083916,78,0,12,53
0.93,0.45454545454545453,0.9090909090909091,77,0,13,53
0.935,0.45454545454545453,0.9090909090909091,77,0,13,53
0.9400000000000001,0.5244755244755245,0.8951048951048951,75,0,15,53
0.9450000000000001,0.7692307692307693,0.8461538461538461,68,0,22,53
0.9500000000000001,0.7692307692307693,0.8461538461538461,68,0,22,53
0.9550000000000001,0.8041958041958042,0.8391608391608392,67,0,23,53
0.96,0.8391608391608392,0.8321678321678322,66,0,24,53
0.965,0.8741258741258742,0.8251748251748252,65,0,25,53
0.97,1.013986013986014,0.7972027972027972,61,0,29,53
0.975,2.167832167832168,0.5664335664335665,28,0,62,53
0.98,3.1468531468531467,0.3706293706293706,0,0,90,53
0.985,3.1468531468531467,0.3706293706293706,0,0,90,53
0.99,3.1468531468531467,0.3706293706293706,0,0,90,53
0.995,3.1468531468531467,0.3706293706293706,0,0,90,53
1.0,3.1468531468531467,0.3706293706293706,0,0,90,53
