,variance,SelectKBest_score,RandomForest_importance,VarianceThreshold_keep,SelectKBest_keep,SelectKBest_score_norm,RandomForest_importance_norm,aggregated_score
petal length (cm),1.0000000000000004,1180.1611822529755,0.45929006628381175,True,True,0.9999999999999992,0.9999999999978227,0.999999999998911
petal width (cm),1.0,960.0071468018185,0.4178598612070714,True,True,0.8134542647548576,0.9097951205153022,0.8616246926350799
sepal length (cm),0.9999999999999997,119.26450218450476,0.10196908588040955,True,False,0.10105780801637951,0.22201456849532034,0.16153618825584992
sepal width (cm),0.9999999999999987,49.160040089612046,0.020880986628707437,True,False,0.041655361003963456,0.04546361474266867,0.043559487873316066
