iter	Logloss
0	0.656235575
1	0.6164725182
2	0.5779259465
3	0.5458905401
4	0.5182732424
5	0.4932772852
6	0.4607590329
7	0.4385757615
8	0.4192300057
9	0.3975547576
10	0.373627023
11	0.3616717077
12	0.3440438899
13	0.3276904004
14	0.3135262773
15	0.2973747193
16	0.2813392459
17	0.2669243667
18	0.2549098584
19	0.243198836
20	0.2330750595
21	0.2243343399
22	0.2164628908
23	0.2074396373
24	0.2009763371
25	0.1943158768
26	0.190837478
27	0.1859741279
28	0.1807615596
29	0.1762802291
30	0.1712090312
31	0.1679032366
32	0.163279086
33	0.1596661445
34	0.1548550831
35	0.1516281605
36	0.1452934577
37	0.1405888873
38	0.137013717
39	0.1340437019
40	0.1309708994
41	0.1277688462
42	0.1252928775
43	0.1227031854
44	0.1199273922
45	0.1171919178
46	0.115339185
47	0.1129223209
48	0.1098567906
49	0.1081386207
50	0.1068883293
51	0.1050930493
52	0.1033509407
53	0.1016984165
54	0.0996349278
55	0.09728254481
56	0.09589539659
57	0.09403838602
58	0.09171850253
59	0.08952660687
60	0.08750945841
61	0.08561131867
62	0.08431549944
63	0.08299067589
64	0.08110148828
65	0.07939128007
66	0.07839068296
67	0.07723934705
68	0.07655089309
69	0.07543185593
70	0.07454070505
71	0.07379435095
72	0.07287041142
73	0.07203360519
74	0.07107692029
75	0.06976402151
76	0.06911898179
77	0.06829504544
78	0.06780051612
79	0.06664700864
80	0.06616322784
81	0.06564300478
82	0.0650826983
83	0.06462981318
84	0.06395158776
85	0.06339443004
86	0.06277608831
87	0.06164543896
88	0.06094500935
89	0.06009191161
90	0.05978650682
91	0.05900686412
92	0.0581886459
93	0.05744995064
94	0.05680002784
95	0.05645156922
96	0.0555822162
97	0.05505110706
98	0.05479427246
99	0.05411895331
100	0.05348882568
101	0.05275081535
102	0.05217425497
103	0.05142870853
104	0.05068407049
105	0.0503461932
106	0.04972369475
107	0.0491426567
108	0.04855576288
1109	0.047074875871110	0.04682216896111	0.04740512265
1112	0.045546805751113	0.045212314971114	0.0446434021
115	0.04587162756
116	0.04545152239
117	0.04349628711
118	0.04311852441
119	0.04277107093
120	0.043670903291121	0.043441857021122	0.043082061091123	0.042620494651124	0.0421378579
125	0.04177286614
126	0.0415958572
127	0.04126931563
128	0.04086062596
129	0.04044832626
130	0.04006677758
131	0.03981970279
132	0.03968633532
133	0.0393220998
134	0.03904923454
135	0.03865854464
136	0.03813895577
137	0.03762857663
138	0.03735214702
139	0.03696107289
140	0.03660772339
141	0.03626148685
142	0.03578914981
143	0.03556800378
144	0.03524813001
145	0.03484592975
146	0.03451507036
147	0.03443331034
148	0.03389973882
149	0.03374963814
150	0.03345237248
151	0.03312828886
152	0.0328455041
153	0.03257569777
154	0.03229118666
155	0.03205443529
156	0.03197500655
157	0.03169059209
158	0.03152948887
159	0.03129026785
160	0.0311139579
161	0.03087929426
162	0.03071556651
163	0.03059795031
164	0.03049112728
165	0.03030585416
166	0.03023256912
167	0.02984154624
168	0.02937571547
169	0.02914893931
170	0.02880025286
171	0.02866406611
172	0.02824056321
173	0.02786952557
174	0.02771307918
175	0.02757584936
176	0.02730722539
177	0.02719765147
178	0.02695811185
179	0.02683563701
180	0.0263895842
181	0.02611052372
182	0.02583662687
183	0.02557360229
184	0.02533873809
185	0.02525604546
186	0.02507930717
187	0.02485463783
188	0.02464434033
189	0.02463179985
190	0.02424608982
191	0.02409584142
192	0.02390893801
193	0.02379137829
194	0.02376226189
195	0.02361840695
196	0.02331302008
197	0.02320996724
198	0.02303440579
199	0.02302759598
200	0.02257870718
201	0.02254754084
202	0.02238895296
203	0.02220950746
204	0.02201418776
205	0.02182916047
206	0.02175491826
207	0.021642258
208	0.02146189566
209	0.0214345856
210	0.02121877344
211	0.02114128181
212	0.02103946968
213	0.02086464392
214	0.02074994915
215	0.02068419577
216	0.02067056805
217	0.02055478912
218	0.02043533249
219	0.0202311749
220	0.02005309045
221	0.01995101499
222	0.01983949779
223	0.01982767178
224	0.01975520824
225	0.01956911848
226	0.01944046068
227	0.0193690729
228	0.01931343236
229	0.01927668155
230	0.01926546983
231	0.01925881826
232	0.01917604826
233	0.01916686232
234	0.01901549712
235	0.01892509536
236	0.01891779396
237	0.01887712031
238	0.01885849327
239	0.01884772178
240	0.01875263809
241	0.01870019721
242	0.01854227128
243	0.01850442753
244	0.01833923422
245	0.01821537437
246	0.0181270209
247	0.01809377259
248	0.01806202016
249	0.01797451763
250	0.01780756894
251	0.01776029164
252	0.01775218997
253	0.01774357278
254	0.01772959582
255	0.01772017422
256	0.01771297098
257	0.0175657109
258	0.01755926839
259	0.01755143174
260	0.01754344673
261	0.01747529422
262	0.01734259734
263	0.01732012089
264	0.0173118865
265	0.01729300991
266	0.01728594313
267	0.01727917609
268	0.01727123675
269	0.01723764864
270	0.0170701299
271	0.01702708687
272	0.01694629247
273	0.01693954579
274	0.0169319108
275	0.01691223346
276	0.01664481782
277	0.01654291615
278	0.01653612939
279	0.0165196075
280	0.01651365193
281	0.01650702156
282	0.01638790032
283	0.01623600658
284	0.01622930464
285	0.01621039607
286	0.01600833518
287	0.01594895534
288	0.01584786239
289	0.01570525371
290	0.01569721312
291	0.015690371
292	0.01547758723
293	0.01534699188
294	0.01512084825
295	0.01511454175
296	0.01490060249
297	0.01486682089
298	0.01485985394
299	0.01481986567
300	0.01479982401
301	0.01479412391
302	0.01478816358
303	0.01477747814
304	0.01457564907
305	0.01440995564
306	0.01440398724
307	0.01421570221
308	0.01419112223
309	0.01415685872
310	0.01415101633
311	0.01414556337
312	0.01403585016
313	0.01402242001
314	0.01390770367
315	0.01387325407
316	0.01380006508
317	0.01372635764
318	0.01372187276
