iter	Logloss
0	0.6443514576
1	0.6011893676
2	0.564120574
3	0.5406419133
4	0.5123166987
5	0.4857015926
6	0.4517093991
7	0.4259371392
8	0.4043853568
9	0.3788154796
10	0.3548208984
11	0.3415582999
12	0.3246448559
13	0.3087033813
14	0.2948271416
15	0.2795329857
16	0.2639697226
17	0.2498569802
18	0.2387719413
19	0.2310792743
20	0.2243517347
21	0.2132873134
22	0.2066392212
23	0.1984268961
24	0.1887870641
25	0.1825136538
26	0.1765217876
27	0.1722150939
28	0.1663606201
29	0.1601253356
30	0.1562572156
31	0.1529803289
32	0.1490778974
33	0.1461609003
34	0.141610375
35	0.1385019274
36	0.1327331156
37	0.1297347538
38	0.1259629306
39	0.1225774273
40	0.1201107099
41	0.1185438263
42	0.1168238904
43	0.1146182664
44	0.111632327
45	0.1098884891
46	0.1077194295
47	0.10653271
48	0.1039600937
49	0.1015170126
50	0.09955681398
51	0.09752637891
52	0.09577028379
53	0.09451942299
54	0.09344386877
55	0.09223764325
56	0.09076101578
57	0.08904072626
58	0.08762404041
59	0.08652540911
60	0.08528818845
61	0.0835988822
62	0.08241411406
63	0.08079913221
64	0.079033611
65	0.07803219564
66	0.07738721217
67	0.07600020894
68	0.07520621081
69	0.07356132228
70	0.07348974924
71	0.07272541726
72	0.07120893195
73	0.07045573197
74	0.06975737262
75	0.06888055041
76	0.06854496533
77	0.06791061723
78	0.067560178
79	0.06704918394
80	0.06670775386
81	0.06607059781
82	0.06557084621
83	0.06484705911
84	0.06389808718
85	0.06311930413
86	0.06244864986
87	0.06110502696
88	0.06058675957
89	0.06006081306
90	0.0596291425
91	0.05918383345
92	0.05865633179
93	0.05809931339
94	0.05731975285
95	0.05712991107
96	0.05666826358
97	0.05606892336
98	0.05583400262
99	0.05523860098
100	0.05393153474
101	0.05355215148
102	0.05273704503
103	0.05181644624
104	0.051140648
105	0.05064549233
106	0.04991729068
107	0.04903428447
108	0.04840797563
109	0.04805839286
110	0.04767456491
111	0.04716287934
112	0.04667903609
113	0.046133939
114	0.04583760892
115	0.04555198641
116	0.04506726749
117	0.04477587895
118	0.044445159
119	0.04388314929
120	0.04346919884
121	0.04321447939
122	0.04303991676
123	0.04266678592
124	0.04214014504
125	0.04177611658
126	0.04140076196
127	0.0408991394
128	0.04051912201
129	0.04016207278
130	0.03990331415
131	0.03954034702
132	0.03941052307
133	0.0390483574
134	0.03877686308
135	0.03835979477
136	0.03797596264
137	0.03754042209
138	0.03734465999
